Age,Education Level,Internet Connection,Marital Status,Num Bathrooms,Num Bedrooms,Num Cars,Num Children,Num TVs,PPV Freq,Prerec Buying Freq,Prerec Format,Prerec Renting Freq,Prerec Viewing Freq,Theater Freq,TV Movie Freq,TV Signal,Home Ownership,Female,Male
40,4,1,3,1.0,2,1,0,1,2,2,1,1,1,1,4,1,Rent,0,1
25,3,2,2,1.0,2,1,0,1,2,2,1,3,2,1,5,4,Rent,0,1
33,3,0,1,2.0,2,2,0,1,2,1,1,3,2,1,1,2,Rent,0,1
41,3,1,1,2.5,4,3,2,6,1,2,1,3,2,2,4,2,Own,0,1
45,1,1,1,3.5,4,2,1,2,2,2,1,2,1,1,4,2,Own,0,1
33,3,1,1,2.5,4,2,1,2,1,2,1,3,2,1,1,2,Own,1,0
30,5,4,0,1.0,1,1,0,1,1,1,1,3,4,1,2,2,Rent,0,1
47,3,2,0,1.0,2,1,2,1,2,3,1,2,1,1,2,2,Rent,0,1
33,2,1,1,3.0,5,2,2,3,3,3,1,1,3,1,5,2,Own,1,0
26,2,2,1,1.0,2,1,1,1,2,1,1,2,1,1,4,2,Rent,0,1
30,2,1,1,1.5,2,1,0,2,2,2,1,3,2,1,4,2,Rent,0,1
28,2,1,1,2.5,3,2,0,1,3,4,1,2,4,1,5,3,Own,0,1
25,3,2,2,1.0,2,1,0,0,1,2,1,1,2,2,2,2,Rent,0,1
38,2,0,1,3.0,3,2,2,1,1,2,4,3,2,1,2,2,Own,0,1
26,2,1,1,1.0,1,1,0,1,2,1,1,2,2,1,4,2,Rent,0,1
32,2,0,1,2.5,3,2,0,1,2,2,1,3,2,1,4,2,Own,0,1
30,2,1,2,3.0,3,1,0,2,3,1,1,3,2,1,1,3,Own,0,1
33,2,2,1,3.0,3,4,2,4,2,2,1,1,2,2,5,2,Own,0,1
29,3,0,1,2.5,3,2,0,2,1,2,1,2,1,1,2,3,Own,0,1
48,1,2,2,2.0,2,1,0,2,2,1,1,1,2,2,1,2,Rent,0,1
31,2,0,1,1.5,2,2,1,2,2,2,4,2,1,2,4,1,Own,0,1
30,3,1,1,2.5,3,2,1,1,2,3,1,2,1,2,1,2,Own,1,0
40,2,0,1,2.5,3,4,2,2,3,1,1,1,1,2,1,3,Own,0,1
31,3,0,2,2.5,3,1,0,1,2,4,1,4,2,1,5,4,Own,0,1
39,3,1,1,2.0,2,1,0,1,2,2,1,3,2,2,2,2,Rent,0,1
33,3,2,1,2.5,2,1,2,1,1,2,1,1,2,2,3,2,Own,0,1
30,3,0,1,2.5,4,1,0,2,2,4,1,4,2,1,2,2,Own,0,1
40,3,0,1,4.5,6,3,2,3,1,1,1,2,2,1,1,3,Own,0,1
31,2,1,1,2.0,2,1,0,2,1,1,1,2,2,3,4,2,Own,0,1
39,6,0,1,3.0,5,2,2,1,2,1,1,3,2,1,5,4,Own,0,1
27,2,0,1,1.0,2,1,0,2,2,3,4,1,1,2,2,2,Rent,0,1
38,2,0,1,2.0,3,5,1,4,1,2,4,2,1,2,1,2,Rent,1,0
27,2,2,1,2.5,3,2,0,2,2,2,1,2,1,2,1,2,Own,1,0
30,1,0,1,3.0,4,2,1,1,2,3,1,3,2,2,5,2,Own,0,1
33,2,0,1,3.0,4,2,0,2,3,1,1,1,1,1,4,2,Own,0,1
41,3,2,1,2.0,3,3,0,5,4,1,0,1,4,1,4,3,Own,0,1
43,3,0,1,2.5,5,2,2,0,2,2,4,4,4,2,4,4,Own,0,1
23,2,0,2,1.0,1,1,0,2,2,1,1,3,2,3,1,2,Rent,0,1
24,7,0,2,1.0,2,1,0,1,1,1,1,4,2,2,2,2,Rent,0,1
31,3,1,2,2.0,4,1,0,1,2,2,1,3,2,3,4,2,Own,0,1
31,2,2,1,2.5,3,2,2,2,2,2,4,3,2,1,4,2,Own,0,1
30,2,1,2,1.0,3,1,0,2,2,2,1,2,1,2,4,2,Own,1,0
22,2,1,2,1.0,1,1,0,1,2,3,1,3,2,3,2,2,Rent,0,1
33,4,2,2,1.0,1,1,0,1,2,1,1,4,2,4,4,2,Rent,0,1
24,2,1,2,1.0,1,0,0,1,1,1,4,2,4,1,5,4,Rent,0,1
39,3,0,1,2.5,4,1,0,1,2,2,1,2,2,1,4,2,Own,0,1
52,3,2,1,2.5,4,3,3,2,1,2,4,2,1,2,2,2,Own,0,1
31,2,0,1,2.5,3,4,0,2,1,4,1,3,2,1,4,2,Own,0,1
33,3,1,1,2.0,2,2,0,1,3,2,1,1,2,2,2,3,Own,1,0
29,2,0,1,2.5,4,2,0,1,1,1,1,3,2,1,4,1,Own,0,1
31,3,0,1,2.5,4,2,1,1,1,2,4,3,2,2,1,2,Own,0,1
35,2,1,1,2.0,4,2,2,4,1,1,1,1,1,2,1,2,Own,0,1
28,2,1,1,3.0,3,2,0,1,2,2,1,2,1,2,2,3,Own,0,1
32,3,1,1,2.5,4,2,0,3,2,2,4,2,2,1,2,3,Own,0,1
36,3,0,1,1.5,4,2,2,1,2,1,1,2,2,1,2,2,Own,0,1
27,2,1,1,2.0,2,1,0,1,2,2,1,3,2,3,2,2,Own,0,1
21,5,0,2,1.0,1,1,0,1,1,1,1,3,4,3,4,2,Rent,0,1
25,2,1,2,1.5,1,1,0,2,4,1,1,2,1,3,2,2,Rent,0,1
27,3,0,1,1.5,3,2,2,2,1,1,1,2,2,1,3,2,Rent,0,1
38,2,1,2,2.0,2,1,0,2,3,1,1,2,2,1,2,2,Own,0,1
33,3,4,0,1.0,1,1,0,1,2,2,1,2,2,3,2,2,Rent,0,1
27,2,0,1,2.5,4,3,0,3,1,1,1,2,2,1,2,2,Own,0,1
28,3,3,1,1.0,1,1,0,1,2,2,4,3,2,1,3,2,Rent,0,1
40,2,1,0,1.0,1,1,2,1,1,1,1,1,2,3,3,3,Rent,0,1
51,7,2,1,3.0,5,3,2,4,2,4,1,4,2,2,2,3,Own,0,1
29,4,0,1,2.5,3,2,1,3,2,2,1,2,2,2,3,2,Own,0,1
28,5,1,1,2.0,4,3,3,4,2,2,1,2,1,2,5,2,Own,0,1
36,3,2,1,2.5,5,2,1,2,2,2,1,1,1,2,2,2,Own,0,1
37,3,1,1,3.0,4,2,2,2,2,2,1,3,2,1,2,2,Own,1,0
33,1,2,1,4.0,4,2,0,2,2,2,1,2,1,1,1,2,Own,0,1
38,2,0,1,5.0,6,2,4,5,1,2,1,2,1,2,1,2,Own,0,1
27,2,0,2,3.0,2,1,0,1,2,1,1,3,2,1,2,2,Own,0,1
30,3,2,2,1.0,1,1,0,1,1,2,1,2,2,1,4,2,Rent,0,1
28,2,1,2,2.5,2,1,0,2,1,2,1,1,3,2,1,3,Own,0,1
28,5,0,1,2.5,4,2,1,2,1,1,1,4,1,4,2,2,Own,0,1
25,2,0,1,2.5,3,2,0,3,2,1,1,2,1,2,2,2,Own,0,1
27,2,1,1,1.5,2,2,0,3,3,1,1,1,2,1,3,2,Rent,1,0
38,2,2,1,2.5,5,2,3,4,1,3,4,3,2,1,1,2,Own,0,1
32,3,1,1,2.5,4,2,1,2,1,1,1,3,2,3,4,2,Own,0,1
44,3,0,1,3.0,3,2,0,1,3,2,1,3,2,1,2,2,Own,0,1
24,3,0,1,2.5,4,2,0,3,2,2,1,3,2,1,2,1,Own,1,0
31,2,2,1,2.5,4,2,0,3,4,1,1,2,2,2,4,3,Own,0,1
32,2,0,1,3.0,5,2,0,3,2,1,1,2,2,1,2,1,Own,0,1
23,8,1,2,1.0,1,1,0,1,2,1,1,2,2,3,2,3,Rent,0,1
45,4,2,1,1.0,1,2,0,3,2,3,4,1,1,1,5,1,Own,1,0
36,2,0,1,2.5,4,2,3,4,1,2,1,2,2,2,2,2,Own,0,1
24,2,2,1,1.0,2,2,0,1,2,2,1,1,1,2,4,1,Own,1,0
31,2,1,1,1.0,2,2,0,1,2,2,1,2,1,3,2,2,Own,0,1
